AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,label
8,0,1,0,0,0,badminton
9,0,3,0,0,0,badminton
9,-1,3,0,0,0,badminton
9,0,2,0,0,0,badminton
9,-1,3,0,0,0,badminton
9,-1,2,0,0,0,badminton
9,0,3,0,0,0,badminton
11,3,11,0,0,0,badminton
13,6,10,0,138,0,badminton
19,0,16,0,192,-299,badminton
19,-9,11,-283,399,-299,badminton
17,-9,2,0,489,0,badminton
10,-5,-6,0,261,0,badminton
9,1,-11,0,0,0,badminton
13,-3,-2,0,-228,0,badminton
19,-6,-2,0,-390,0,badminton
19,-7,-10,0,-565,0,badminton
19,-15,-11,0,-568,0,badminton
19,-19,-17,0,-666,219,badminton
19,-14,-17,0,-545,350,badminton
19,-9,-14,0,-464,382,badminton
19,0,-2,0,-265,351,badminton
19,6,2,0,-180,316,badminton
8,19,14,0,0,0,badminton
4,17,3,0,0,0,badminton
6,0,0,0,0,-338,badminton
9,-11,-5,0,219,-278,badminton
10,-12,-5,0,155,-386,badminton
15,-14,-10,0,0,-376,badminton
19,-14,-9,0,0,-382,badminton
12,-17,-3,0,0,-251,badminton
13,-12,-2,0,149,0,badminton
13,-14,-1,0,215,-235,badminton
14,-7,1,0,0,-232,badminton
10,-8,1,0,0,0,badminton
9,-7,1,0,0,0,badminton
10,-3,1,0,0,0,badminton
10,-1,0,0,0,0,badminton
9,-2,0,0,0,0,badminton
10,-3,3,0,0,0,badminton
9,-3,3,0,0,0,badminton
9,-2,4,0,0,0,badminton
9,0,2,0,0,0,badminton
9,0,2,0,0,0,badminton
9,-2,3,0,0,0,badminton
8,-4,4,0,0,0,badminton
9,-2,2,0,0,0,badminton
11,2,14,0,0,0,badminton
14,13,10,0,208,0,badminton
19,10,15,0,0,-445,badminton
19,-10,13,-277,429,-433,badminton
19,-15,0,-273,632,0,badminton
18,-2,-13,0,318,0,badminton
8,-2,-12,0,0,0,badminton
11,-2,-12,0,-238,0,badminton
19,-10,-11,0,-439,0,badminton
19,-14,-15,0,-563,0,badminton
19,-19,-19,-273,-702,233,badminton
19,-19,-18,0,-770,225,badminton
19,-19,-14,0,-676,291,badminton
19,-5,-3,0,-477,288,badminton
19,10,2,0,-155,238,badminton
7,18,5,0,0,0,badminton
6,9,7,0,0,0,badminton
4,3,3,0,0,-212,badminton
6,-4,-2,0,158,-307,badminton
9,-14,-4,0,0,-316,badminton
12,-16,-6,0,0,-325,badminton
14,-18,-6,0,0,-330,badminton
12,-19,-1,0,0,-254,badminton
13,-14,0,0,141,-214,badminton
9,-8,-5,0,144,-265,badminton
9,-12,0,0,0,-243,badminton
9,-11,1,0,0,0,badminton
10,-7,0,0,0,0,badminton
10,-5,0,0,0,0,badminton
9,-6,3,0,0,0,badminton
9,-4,3,0,0,0,badminton
10,-2,2,0,0,0,badminton
12,-2,3,0,0,0,badminton
10,0,2,0,0,0,badminton
9,0,2,0,0,0,badminton
8,0,2,0,0,0,badminton
8,-3,2,0,0,0,badminton
9,-3,3,0,0,0,badminton
10,-4,2,0,0,0,badminton
9,-4,2,0,0,0,badminton
11,6,10,0,0,0,badminton
16,9,9,0,242,0,badminton
19,0,11,0,182,-380,badminton
19,-5,6,-272,553,-241,badminton
19,-10,-7,-405,734,0,badminton
13,-5,-11,0,339,0,badminton
10,0,-12,278,0,0,badminton
12,0,-11,0,-202,0,badminton
19,-10,-15,0,-406,0,badminton
19,-15,-19,0,-674,0,badminton
19,-19,-19,0,-757,347,badminton
19,-19,-19,0,-715,485,badminton
19,-18,-14,282,-390,522,badminton
19,2,0,0,-196,435,badminton
19,17,1,0,0,244,badminton
11,19,-1,0,0,0,badminton
8,12,2,0,0,-208,badminton
8,-1,-2,0,0,-325,badminton
9,-15,0,0,0,-362,badminton
12,-18,-4,0,0,-397,badminton
16,-18,-3,0,0,-376,badminton
14,-18,-1,0,0,-265,badminton
14,-13,-2,0,0,0,badminton
16,-10,-3,0,151,0,badminton
13,-12,-7,0,190,-231,badminton
8,-10,-2,0,0,0,badminton
6,-8,-2,0,0,0,badminton
9,-7,0,0,0,0,badminton
10,-4,0,0,0,0,badminton
11,-3,4,0,0,0,badminton
10,-1,5,0,0,0,badminton
7,-2,4,0,0,0,badminton
7,-2,4,0,0,0,badminton
9,0,3,0,0,0,badminton
8,-2,2,0,0,0,badminton
8,-3,3,0,0,0,badminton
10,-2,3,0,0,0,badminton
8,-2,2,0,0,0,badminton
9,-2,3,0,0,0,badminton
9,-2,2,0,0,0,badminton
10,4,11,0,0,0,badminton
19,3,10,0,0,-290,badminton
19,0,3,0,596,-278,badminton
19,-6,-9,-613,628,0,badminton
19,0,-5,0,397,0,badminton
6,2,-19,0,180,0,badminton
19,0,-3,340,-355,0,badminton
19,-5,-4,0,-297,0,badminton
19,-15,-7,0,-369,0,badminton
19,-18,-15,282,-640,361,badminton
19,-15,-13,0,-505,539,badminton
19,-15,-14,0,-438,562,badminton
19,-5,-8,0,-199,457,badminton
19,6,1,0,0,328,badminton
10,18,7,0,0,0,badminton
5,16,6,0,0,0,badminton
7,1,1,0,0,-278,badminton
7,-16,0,0,138,-258,badminton
5,-17,-3,0,0,-292,badminton
7,-17,0,0,0,-302,badminton
12,-16,0,0,0,-326,badminton
10,-16,0,0,0,-262,badminton
12,-13,2,0,0,-212,badminton
12,-15,2,0,0,-254,badminton
9,-14,0,0,137,0,badminton
4,-11,0,0,0,0,badminton
6,-10,3,0,0,0,badminton
9,-7,2,0,0,0,badminton
9,-4,1,0,0,0,badminton
9,-4,2,0,0,0,badminton
10,-3,3,0,0,0,badminton
10,-1,3,0,0,0,badminton
8,0,2,0,0,0,badminton
8,-2,3,0,0,0,badminton
7,-2,3,0,0,0,badminton
9,-2,3,0,0,0,badminton
9,-3,3,0,0,0,badminton
8,-3,3,0,0,0,badminton
9,-2,2,0,0,0,badminton
9,-2,2,0,0,0,badminton
13,7,6,0,0,0,badminton
18,7,10,0,252,0,badminton
19,-2,19,0,242,-450,badminton
